Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
Gas,Female,0.6968456108076502,0.0652710479147302,0.0615333085991121,0.8872373687442334,0.29690669556160165,0.3612575573303696,0.23181830629969608,0.09718267145067604,0.4576110810724849,0.41099369689328424,0.2387460055415315,0.21907258086381926,0.24048500978353865,0.07040214993149993,0.12541036171056558,0.05,0.09750671598003874,0.09652162073655433,0.08954000421346711,0.052399046430716245,0.10236866186682406,0.050405476992436936,0.05,0.052371605227489036,0.1431003281846753,0.1431003281846753
Gas,Male,0.6856131148748246,0.06543576588332153,0.061285774464372,0.7877938389205607,0.26632570159733526,0.3522740039041315,0.21753485122063848,0.08648678286578212,0.38604847174072066,0.431776748640868,0.2571622568002921,0.2383002033686096,0.2380384206633434,0.060488403609926154,0.11938148809232944,0.05,0.09214063122585436,0.08558434542455322,0.09010796606980154,0.05,0.08971149723768458,0.05,0.05,0.05,0.14579605720683037,0.14579605720683037
H,Female,0.2687799803322394,0.08110963431717202,0.05666449578723454,0.7501488089690488,0.39257069492743757,0.6170963544751074,0.5833784167602956,0.19240246494410382,0.05,0.6852014606487071,0.32717948497812194,0.21190297625439092,0.25220019810265154,0.08761255574165534,0.11219900476269537,0.06272588558510764,0.09043825044461881,0.07785339520588241,0.07390203951127382,0.05,0.09223060985131029,0.05,0.05,0.05,0.18486951974067134,0.18486951974067134
H,Male,0.31450688895265116,0.0904522495639887,0.06099427739911127,0.9132337462704557,0.3739235022670634,0.6999880237021643,0.6846744684190911,0.21602566959794292,0.05326866193823347,0.9232317680414897,0.425970908693162,0.2650191866091115,0.29753817523845916,0.10597497009826055,0.12114986208869989,0.06666780926029017,0.09139254604329237,0.09391996565765254,0.08174092224741407,0.05,0.09967133967457417,0.05,0.05,0.05,0.21436892830406834,0.21436892830406834
HC,Female,0.4659533130860086,0.07783285902910922,0.08154857312478384,0.294803304988176,0.27138129500583136,0.24447605553743101,0.11025019655532804,0.10153636527873086,0.17154352596927575,0.3757816028777135,0.3146010837676477,0.2736107099174062,0.19256166119849732,0.06697980483182556,0.3282209759493433,0.05173484383533754,0.1503332115666977,0.07304784438133688,0.06454444351860153,0.05,0.17711577440035448,0.05,0.05,0.05,0.13700454917568586,0.498496867700129
HC,Male,0.541822517595674,0.08881465901451138,0.08706146012734228,0.3245029656167401,0.25752638654331317,0.25339191917658815,0.11639023877123231,0.09916678011169851,0.1659854966445087,0.41614469108659796,0.33230925928278515,0.2606678230297369,0.17972732569510821,0.07034351130512814,0.3789376778871075,0.05,0.15412631014392428,0.08470409892066896,0.06536515201280062,0.05,0.16751242114863937,0.05,0.05,0.05,0.14408713662160685,0.5396561185216759
KD,Female,0.35919753820469164,0.13656669370163615,0.13569808809484574,0.7725403648211867,0.3232505982615038,0.6125846652412351,0.5496718178818136,0.0541627031180123,0.15619732196813074,0.3712928823340814,0.553385512219254,0.3209176199585637,0.39174422837053735,0.20321375803909927,0.838659278515322,0.05416826722227772,0.3025823412867432,0.7980748710298678,0.1338867000557194,0.08013916462410717,0.5308033903509113,0.1651958518558942,0.1059964581955791,0.19773899840284184,0.1372604275941017,0.1356910237780138
KD,Male,0.33657255646826273,0.1876335283009272,0.15248954445856586,0.9554366097162047,0.2543413229977207,0.6268967308540928,0.6398498245229154,0.057766470060116815,0.16996914856397694,0.4483207758897082,0.6895680527975807,0.34145574670777545,0.44349992609346095,0.33203786671195795,0.9070528121667282,0.07669048190669761,0.41486300428357614,0.9244257897475473,0.09952890692910807,0.06410892859065173,0.7309582203170265,0.18074475314899402,0.12541171460772832,0.18892976757817542,0.15046145430333013,0.18195352004301737
LUN,Female,0.13913929964740138,0.15282300201926477,0.10614427179520217,0.18862625615506667,0.13133995049296762,0.15066627150519443,0.12498831585662765,0.08893208362875454,0.05487966034898635,0.10025248477075979,0.1992650038288632,0.16251208138916223,0.1373853883404043,0.07190485561794455,0.14503403361213388,0.05,0.12498153884918688,0.0864080317384514,0.1052256320624061,0.05,0.11797546430849164,0.05,0.05,0.05013298095073214,0.08539169185190576,0.12972204219173464
LUN,Male,0.1294919501789018,0.14822386480607486,0.09915794448779207,0.17299102985825918,0.11711332059553743,0.14033471484166854,0.11529774571072857,0.09389380363074282,0.05541630447846294,0.08964926945449542,0.17748223819822412,0.14708796921788125,0.12876833916504066,0.06806020739268037,0.14906575323058907,0.05,0.13080155405116897,0.08076492608240936,0.10646090836336755,0.05,0.11692658935276298,0.05,0.05,0.05,0.0837627208078185,0.13114622182792754
