Sample,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,TCA_Cycle,Pyruvate_Dehydrogenase,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Malic_Enzyme,IDH_NADPH,Lactate_Dehydrogenase,Glutaminolysis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A116,0.5427281765781397,0.6411392399416157,0.8351599289032939,0.6674437747787773,0.9035586202953915,0.6139896633559051,0.6499411563459917,0.6268030029986211,0.32470107440599755,0.672574395561009,0.08366188536678211,0.1387121910880697,0.059571520175880535,0.6115735636578618,0.5564017849764379,0.6711056430306664,0.10024066392944268,0.16620843679863304,0.07863132606836805,0.10058136119630535,0.1277224996188713,0.060976988634322445,0.05000000000000001,0.12232598281726369,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.192633803678731,0.14313700979577162
A188,0.6120402608532497,0.10806804037353789,0.11633282065081516,0.34786216434624634,0.2674992751596554,0.11614741629920308,0.12347259926312584,0.5755450525994816,0.092185247561243,0.8481303504435685,0.4866994419074294,0.12137813682770904,0.644424430089738,0.4104821371324022,0.4016325511285814,0.28528803458121693,0.1028638833766893,0.42624624692821955,0.07091104213857742,0.13119286708233166,0.08386579701955499,0.07020710794127083,0.05000000000000001,0.17258019166918548,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.17950270612023347,0.7394023040370205
A215,0.47657781352611306,0.1043924820381612,0.07596365949107116,0.26626724668613144,0.2588811655031729,0.10940197348601828,0.1156697349791064,0.7106012095339737,0.08495411731225884,0.7063051509649902,0.42804189307136364,0.27810025126427274,0.46968278759448623,0.41162771762156464,0.32349370963516894,0.2517478381268213,0.07716298644517677,0.4229801771439933,0.05000000000000001,0.14838732964491907,0.07624994968124889,0.06614155111507396,0.05000000000000001,0.21035452550816783,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.1532453567966231,0.45837992924533333
A158,0.19664940231363592,0.21737498362912475,0.11356420898613927,0.17248491211971925,0.14467555390874906,0.15016519001736245,0.08203733555552409,0.2845962290999644,0.1701648231172236,0.3366756307779408,0.1588738986051723,0.05000000000000001,0.09675720240003664,0.29966032626128,0.313262612804637,0.23021074370459169,0.08335941776962054,0.18080708063360582,0.05000000000000001,0.1111218186169383,0.06259585983772571,0.1840982459131804,0.05000000000000001,0.14369674706787464,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.06955472751727111,0.09880221507199387
A114,0.35847628846316915,0.7285316307620419,0.8451306083304205,0.40047656518101266,0.5622110914221548,0.3240993838184445,0.8121603538863572,0.7455184842006961,0.3911808202434324,0.7265985082044498,0.09282093532704418,0.3569781495499507,0.05000000000000001,0.6903647099701505,0.6422384337962191,0.6751865061895399,0.07660008256644654,0.17357173563263303,0.07207838052709782,0.10643595109296736,0.13133714005517205,0.06702372247129657,0.05000000000000001,0.12602853278899645,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.2139755169266963,0.16997239044023585
A101,0.15587303094385946,0.15919037173488013,0.13434076895441335,0.1344351795167064,0.09756878842223593,0.09676580351959546,0.05453179196164518,0.15700094866990208,0.08308801918348875,0.16434440491532692,0.15794751985654942,0.05000000000000001,0.1030263820821692,0.15730580029491234,0.10842858508094452,0.11963678828537327,0.10544037067522044,0.07863381060481121,0.05000000000000001,0.11857469241672566,0.055510588665654344,0.06782681078723196,0.05000000000000001,0.1314489453628004,0.05000000000000001,0.05000000000000001,0.13874326340356757,0.07177269051741378,0.07177269051741378
A12,0.22894920947166816,0.11191551088497807,0.06940739321039684,0.29550772555167526,0.09362828593921989,0.471553831930234,0.05000000000000001,0.05000000000000001,0.29178776865981493,0.49892888270706937,0.8148546256295071,0.8315328736454626,0.7570964823890441,0.3340209808961831,0.17498602016198828,0.26042959109751773,0.8956262920418757,0.6735718218665256,0.20118991709521092,0.9453144309732093,0.7657915553250396,0.859025853714974,0.9170544034032061,0.49744028807664303,0.9163974643082554,0.9016393326192748,0.9444685915959292,0.4844466934705272,0.1945631622878602
A119,0.3410332790612082,0.678584856150232,0.7349725471634625,0.37439104481311414,0.5395644645050559,0.3489423775755848,0.9181835459773043,0.7197748480625697,0.39759553256107966,0.6867388974675233,0.12605999369023607,0.4247240863840208,0.09516843768607154,0.7120364014837455,0.5932510297133476,0.6444194038022707,0.07760969035157744,0.24065311764816522,0.05500337617291289,0.09829351930542639,0.13826536715594215,0.07091887796965035,0.05000000000000001,0.12592235874312804,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.2693939824479769,0.2342495946097102
A117,0.38047307607923353,0.6436999197178076,0.6552538198331234,0.355636956682065,0.4240519912758075,0.35009895979016425,0.8434683344479879,0.5252073863843635,0.31499736413639307,0.7003287313778304,0.16938880514933569,0.48324639801533026,0.15123322493473182,0.68507505692953,0.5251930770348079,0.582225170442332,0.07610754902887595,0.20464408166910966,0.05339943325007642,0.08740538152645483,0.12507830074267834,0.07658344024301103,0.05000000000000001,0.1516632283371981,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.30060682749654033,0.3066048000821419
A110,0.39406246689751323,0.15152397587355956,0.14667568032122513,0.6512256033319948,0.298497158257193,0.5753392030553366,0.051435610893602185,0.5482288966814047,0.6112404420786467,0.8229664120448897,0.6780050232413872,0.17954263541235962,0.4315857875692758,0.6006926200212843,0.31574006783704667,0.39668699306117616,0.22512825402601078,0.9073880848327418,0.05326903150903159,0.3220520724407685,0.9274254635932868,0.1376659949069667,0.08249477235069756,0.54208543539435,0.17348399102174702,0.11073312486023607,0.21338571439345946,0.1468989087041282,0.1468989087041282
