Sample,Name,Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
A121,BAT_6h_F_G1,BAT,Female,0.6326579482747235,0.6162356744001641,0.8754741879976963,0.6195187049111766,1.0,0.9162680113883938,0.9304933442830502,0.5254707143478494,0.0913972033014793,0.05,0.5215729710755014,0.4556026364032072,0.6500790594433394,0.1463920881050285,0.1640332670818055,0.0932021516528464,0.1004981771403561,0.1326580722076909,0.05,0.05,0.0732075954160218,0.05,0.05,0.05,0.1622429393736192,0.1076480633682392
A152,SK_6h_F_G2,SK,Female,0.2101375312205414,0.2807571772186873,0.1792872249140057,0.3472750627079846,0.1525493208376632,0.2025063221893242,0.1675924455914666,0.0832865496393592,0.0906062148150504,0.1911956671094215,0.1825723457198984,0.1388685680253467,0.1556494445139383,0.1143905957862521,0.1308924280532994,0.1344811156311182,0.147826115972191,0.0690315308272789,0.0829175659869432,0.0566810829856029,0.1168119481129891,0.05,0.05,0.05,0.0977741446164121,0.236302652771613
A132,Gas_6h_F_G2,Gas,Female,0.7238164869713235,0.0626623248182142,0.059331238691432,0.986853937486764,0.2906536968145154,0.3521016548867401,0.2153400413576265,0.0835865980271634,0.4892894628033459,0.3523267140843615,0.2063194625899735,0.1854305648582004,0.2137143093464087,0.0685846847864996,0.1336856959948477,0.05,0.0957599866116028,0.0890576266511797,0.0885380228789003,0.05,0.1137672946072808,0.05,0.05,0.05,0.1327265448364345,0.1327265448364345
A102,SP_6h_F_G2,SP,Female,0.1554031631519136,0.1589026236165348,0.1399237033186079,0.153973775983773,0.0865364366378342,0.1304978863461698,0.098838106523654,0.054571273026658,0.05,0.1049443502954243,0.1406645567900153,0.0940306105646661,0.1006139511634179,0.1084327720833384,0.0696477735474109,0.05,0.1081814550559368,0.0523604177282402,0.0687274142753437,0.05,0.1357208808297453,0.05,0.05,0.1268414973408911,0.0724376802138998,0.0724376802138998
A216,CB_6h_F_G1,CB,Female,0.4972622470071592,0.1193439507619602,0.084038220465691,0.5806470052427977,0.2460229394569833,0.2867840076305418,0.1211350941848717,0.110260386076702,0.1158519131070894,0.3896450203257562,0.3724557457888813,0.2993987685458285,0.2384329856834332,0.0913872437479463,0.4748648281052858,0.05,0.1621001036881039,0.1109523104754738,0.0755102677973697,0.05,0.1190662194912927,0.05,0.05,0.05,0.1395788344137026,0.4872336850025031
A186,ME_6h_M_G1,ME,Male,0.5763748806217709,0.1013056731128979,0.1230613716272405,0.9727881519479372,0.2761980392262873,0.3439692416237608,0.1133996778447429,0.1232481502588696,0.1295680798956776,0.6499888439624069,0.4242312486638103,0.4142165155102316,0.3143853336032061,0.1208525337016302,0.4350209064393817,0.0827680711880497,0.1420724073782387,0.0718237094830836,0.0697700030327134,0.05,0.1215690195862687,0.05,0.05,0.05,0.1802760167025008,0.7063811733903388
A109,KD_6h_F_G4,KD,Female,0.3813967323488707,0.1545168211804787,0.1520065442727362,0.7840524006397231,0.2865659458280016,0.6296438855525208,0.5909752296756742,0.0546754460598415,0.1667011227378264,0.3966186506664224,0.6111509027813163,0.3109667024170024,0.4000007121626629,0.212670527224846,0.887582021168032,0.0553814106986853,0.2922664267836843,0.8593955025157035,0.1417069206328582,0.0841903770169528,0.5013461103247916,0.1657107693611839,0.1062382652973755,0.1960998086980295,0.1408223438709962,0.1408223438709962
A100,PA_6h_F_G5,PA,Female,0.05,0.0693500157492299,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0919651232070008,0.1039752774850011,0.086584482807424,0.05,0.0603584396179418,0.1762114520860764,0.0845549732513888,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1898386744754801
A157,UT_6h_F_G2,UT,Female,0.1279978069435051,0.2020464156891134,0.2383514813231803,0.2938096550608562,0.1853918131232853,0.1572437478308498,0.1315357977080299,0.0767682007300578,0.0529563309055055,0.0745001832089039,0.3373328680227171,0.3260213832355,0.3102344087522977,0.0833743534990353,0.1918849455973084,0.0631830614959508,0.1072731591093426,0.05,0.0850305469022464,0.05,0.1322103249614757,0.05,0.05,0.05,0.0918880584021393,0.1082675633667587
A187,ME_6h_M_G2,ME,Male,0.5814683631406514,0.1051016535413839,0.1174173208992095,0.9294999645840863,0.2795713469721771,0.3493124783141371,0.1181375862268915,0.1308378851065043,0.1381953500206736,0.620738257590187,0.4380128114953669,0.3972971076537267,0.3155085361472761,0.1309244690453165,0.4000702592742231,0.088218518996718,0.1565428130604081,0.0889258671200798,0.0707669855627217,0.05,0.154383248260714,0.05,0.05,0.05,0.1761729629639842,0.7303186490055797
