State,Id,type,flux_calue,flux_std,lb,ub
reaction,r0504_ri_brain,free,1,1,0,500
reaction,r0505_rbe_brain,free,1,1,0,200
reaction,r0506_rbe_brain,free,1,1,0,200
reaction,r0507_tkt1_brain,free,1,1,0,200
reaction,r0508_tkt1_brain,free,1,1,0,200
reaction,r0509_tal_brain,free,1,1,0,200
reaction,r0510_tal_brain,free,1,1,0,200
reaction,r0511_tkt2_brain,free,1,1,0,200
reaction,r0512_tkt2_brain,free,1,1,0,200
reaction,r0513_cad_brain,free,1,1,0,50
reaction,r0514_nt_brain,free,1,1,0,50
reaction,r0515_urk_brain,free,1,1,0,50
reaction,r0521_ldh_brain,free,1,1,0,1000
reaction,r0522_ldh_brain,free,1,1,0,1000
reaction,r0523_phgdh_brain,free,1,1,0,200
reaction,r0524_sal_brain,free,1,1,0,200
reaction,r0525_gptm_brain,free,1,1,0,500
reaction,r0526_gpt_brain,free,1,1,0,200
reaction,r0527_got_brain,free,1,1,0,200
reaction,r0529_gludh_brain,free,1,1,0,200
reaction,r0530_gludh_brain,free,1,1,0,200
reaction,r0531_glul_brain,free,1,1,0,200
reaction,r0532_gls_brain,free,1,1,0,200
reaction,r0533_acl_brain,free,1,1,0,100
reaction,r0535_aat_brain,free,1,1,0,100
reaction,r0536_OXPHOS_brain,free,1,1,100,1000
reversible,PGI_liver,free,1,1,-100,300
reversible,FBA_liver,free,1,1,-100,300
reversible,TPI_liver,free,1,1,-100,300
reversible,GAPDH_liver,free,1,1,-100,300
reversible,PEPH_liver,free,1,1,-100,300
reversible,IDH_liver,free,1,1,-100,300
reversible,SDH_liver,free,1,1,-100,300
reversible,MDH_liver,free,1,1,-100,300
reversible,RPI_liver,free,1,1,-100,300
reversible,RBE_liver,free,1,1,-100,300
reversible,TKT1_liver,free,1,1,-100,300
reversible,TAL_liver,free,1,1,-100,300
reversible,TKT2_liver,free,1,1,-100,300
reversible,FH_liver,free,1,1,-100,300
reversible,MDHcyt_liver,free,1,1,-100,300
reversible,LDH_liver,free,1,1,-300,500
reversible,GLUDH_liver,free,1,1,-100,300
reversible,PGI_lung,free,1,1,-100,300
reversible,FBA_lung,free,1,1,-100,300
reversible,TPI_lung,free,1,1,-100,300
reversible,GAPDH_lung,free,1,1,-100,300
reversible,PEPH_lung,free,1,1,-100,300
reversible,IDH_lung,free,1,1,-100,300
reversible,SDH_lung,free,1,1,-100,300
reversible,MDH_lung,free,1,1,-100,300
reversible,RPI_lung,free,1,1,-100,300
reversible,RBE_lung,free,1,1,-100,300
reversible,TKT1_lung,free,1,1,-100,300
reversible,TAL_lung,free,1,1,-100,300
reversible,TKT2_lung,free,1,1,-100,300
reversible,FH_lung,free,1,1,-100,300
reversible,MDHcyt_lung,free,1,1,-100,300
reversible,LDH_lung,free,1,1,-300,500
reversible,GLUDH_lung,free,1,1,-100,300
reversible,PGI_brain,free,1,1,-100,300
reversible,FBA_brain,free,1,1,-100,300
reversible,TPI_brain,free,1,1,-100,300
reversible,GAPDH_brain,free,1,1,-100,300
reversible,PEPH_brain,free,1,1,-100,300
reversible,IDH_brain,free,1,1,-100,300
reversible,SDH_brain,free,1,1,-100,300
reversible,MDH_brain,free,1,1,-100,300
reversible,RPI_brain,free,1,1,-100,300
reversible,RBE_brain,free,1,1,-100,300
reversible,TKT1_brain,free,1,1,-100,300
reversible,TAL_brain,free,1,1,-100,300
reversible,TKT2_brain,free,1,1,-100,300
reversible,FH_brain,free,1,1,-100,300
reversible,MDHcyt_brain,free,1,1,-100,300
reversible,LDH_brain,free,1,1,-300,500
reversible,GLUDH_brain,free,1,1,-100,300
metabolite,NADHliver,fixed,10,1,0.001,100
metabolite,NADPHliver,fixed,10,1,0.001,100
metabolite,ATPliver,fixed,10,1,0.001,100
metabolite,AcCOAcytliver,fixed,10,1,0.001,100
metabolite,AcCOAmitliver,fixed,10,1,0.001,100
metabolite,aKGliver,fixed,10,1,0.001,100
metabolite,Alaliver,fixed,10,1,0.001,100
metabolite,Aspliver,fixed,10,1,0.001,100
metabolite,Citliver,fixed,10,1,0.001,100
metabolite,CO2inliver,fixed,10,1,0.001,100
metabolite,DHAPliver,fixed,10,1,0.001,100
metabolite,E4Pliver,fixed,10,1,0.001,100
metabolite,F6Pliver,fixed,10,1,0.001,100
metabolite,FBPliver,fixed,10,1,0.001,100
metabolite,Fumliver,fixed,10,1,0.001,100
metabolite,G6Pliver,fixed,10,1,0.001,100
metabolite,GAPliver,fixed,10,1,0.001,100
metabolite,Glnliver,fixed,10,1,0.001,100
metabolite,Gluliver,fixed,10,1,0.001,100
metabolite,Lacliver,fixed,10,1,0.001,100
metabolite,m6PGliver,fixed,10,1,0.001,100
metabolite,Malliver,fixed,10,1,0.001,100
metabolite,Malcytliver,fixed,10,1,0.001,100
metabolite,Oxaliver,fixed,10,1,0.001,100
metabolite,Oxacytliver,fixed,10,1,0.001,100
metabolite,PEPliver,fixed,10,1,0.001,100
metabolite,m3PGliver,fixed,10,1,0.001,100
metabolite,Pyrliver,fixed,10,1,0.001,100
metabolite,R5Pliver,fixed,10,1,0.001,100
metabolite,Ru5Pliver,fixed,10,1,0.001,100
metabolite,S7Pliver,fixed,10,1,0.001,100
metabolite,Sucliver,fixed,10,1,0.001,100
metabolite,Xu5Pliver,fixed,10,1,0.001,100
metabolite,Glcliver,fixed,10,1,0.001,100
metabolite,Serliver,fixed,10,1,0.001,100
metabolite,AcAspliver,fixed,10,1,0.001,100
metabolite,Uridineliver,fixed,10,1,0.001,100
metabolite,UMPliver,fixed,10,1,0.001,100
metabolite,Uridine,fixed,10,1,0.001,100
metabolite,LacPeri,fixed,30,1,0.001,100
metabolite,GlcPeri,fixed,60,1,0.001,100
metabolite,LacCn,fixed,20,1,0.001,100
metabolite,GlcCn,fixed,50,1,0.001,100
metabolite,NADHlung,fixed,10,1,0.001,100
metabolite,NADPHlung,fixed,10,1,0.001,100
metabolite,ATPlung,fixed,10,1,0.001,100
metabolite,AcCOAcytlung,fixed,10,1,0.001,100
metabolite,AcCOAmitlung,fixed,10,1,0.001,100
metabolite,aKGlung,fixed,10,1,0.001,100
metabolite,Alalung,fixed,10,1,0.001,100
metabolite,Asplung,fixed,10,1,0.001,100
metabolite,Citlung,fixed,10,1,0.001,100
metabolite,CO2inlung,fixed,10,1,0.001,100
metabolite,DHAPlung,fixed,10,1,0.001,100
metabolite,E4Plung,fixed,10,1,0.001,100
metabolite,F6Plung,fixed,10,1,0.001,100
metabolite,FBPlung,fixed,10,1,0.001,100
metabolite,Fumlung,fixed,10,1,0.001,100
metabolite,G6Plung,fixed,10,1,0.001,100
metabolite,GAPlung,fixed,10,1,0.001,100
metabolite,Glnlung,fixed,10,1,0.001,100
metabolite,Glulung,fixed,10,1,0.001,100
metabolite,Laclung,fixed,10,1,0.001,100
metabolite,m6PGlung,fixed,10,1,0.001,100
metabolite,Mallung,fixed,10,1,0.001,100
metabolite,Malcytlung,fixed,10,1,0.001,100
