Tissue,Sex,Glycolysis,Oxidative_PPP,Non_oxidative_PPP,Lactate_Dehydrogenase,Pyruvate_Dehydrogenase,TCA_Cycle,Fatty_Acid_Oxidation,Fatty_Acid_Synthesis,Alanine_catabolism,Aspartate_catabolism,Leucine_catabolism,Isoleucine_catabolism,Valine_catabolism,Serine_catabolism,Glycine_catabolism,Threonine_catabolism,Methionine_catabolism,Proline_catabolism,Arginine_catabolism,Histidine_catabolism,Lysine_catabolism,Phenylalanine_catabolism,Tyrosine_catabolism,Tryptophan_catabolism,Cysteine_catabolism,Asparagine_catabolism
PA,Male,6.938893903907228e-18,0.01802801457568368,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.029255793380095197,0.040046492208160124,0.027720973317116822,0.00354659389239248,0.00540957192361382,0.16835335048164446,0.03188483893131488,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.0007858437357028455,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.12818098733835967
Ps,Female,0.34739966528305233,-0.1185113949084045,-0.10622088418505338,0.48129309072732396,0.03906488610757504,0.1211976468140054,-0.11394020158256127,-0.09837146061893973,-0.10134393480188253,0.38873102003713056,0.176657213709479,0.204363246838115,0.08360226706262934,-0.13119666880900474,0.20287452750561016,-0.15689790473928836,-0.08961429536488093,-0.15417846114063544,-0.15673871816828885,-0.1774849608506723,-0.07058987800184062,-0.1774849608506723,-0.1774849608506723,-0.1774849608506723,-0.052109304900233466,0.4759999939179244
Ps,Male,0.33286321130636376,-0.11059377522890754,-0.10510745151416859,0.5090230301012144,0.06392442302819615,0.12310699088515582,-0.11079016400451938,-0.09322963096722242,-0.09752010955563431,0.3583630586445012,0.20229231132053,0.1895316158731074,0.0847345745051675,-0.10966470603352804,0.19718958733253847,-0.13879717778051476,-0.06949807144723158,-0.14308314176038248,-0.15091385890478173,-0.1688584893781591,-0.04602364367984128,-0.1688584893781591,-0.1688584893781591,-0.1688584893781591,-0.04899536314626486,0.44889567064498015
SK,Female,-0.00852646617903994,0.00928677036373764,-0.0653676149675734,0.1830710485955697,-0.04307676275124368,-0.03645878863964018,-0.08209977537105806,-0.0768199163653838,-0.13208147583351043,-0.08475342777443699,-0.016152697302950283,-0.038113510453846075,-0.033087608076791106,-0.1612096455661168,-0.12535468023670088,-0.16813677967541335,-0.1312208591681461,-0.17640259662533772,-0.1773168444091477,-0.203244316411209,-0.14228098974296333,-0.21121222867216058,-0.21121222867216058,-0.21121222867216058,-0.12900254217110832,-0.05028352596519041
SK,Male,0.12505020125884073,-0.04034896947206106,-0.11676507360916344,0.31865840643893356,0.00647168236709012,0.016375325678957203,-0.0488293526243316,-0.00431759801414266,-0.03800867137067014,-0.02903547443803778,0.05911692986606661,0.05996696682888608,0.0397316561434257,-0.16346075773112484,-0.11305540142272134,-0.18868401192665374,-0.13851173230446684,-0.1378169982632737,-0.1498122766485168,-0.1801979928437844,-0.12288715858987187,-0.1926538798564053,-0.1926538798564053,-0.1926538798564053,-0.07266014451138728,-0.07235960009557786
SP,Female,0.05091255336339854,0.055828605746781876,0.04890053387784238,0.062113212031199336,-0.0092058255588333,0.02965258046232248,-0.008902097079006941,-0.04420123611207362,-0.0479350175124822,-0.00180679418082842,0.0423177771398393,0.0042827226289295405,0.004826850384879919,0.00496847325815548,-0.025576913410984642,-0.0479350175124822,0.01436389739872418,-0.04474824568278778,-0.03129475058908162,-0.0479350175124822,0.028804074314084122,-0.0479350175124822,-0.0479350175124822,0.021528395757455798,-0.029257730054498922,-0.028987456790471898
SP,Male,0.042804223516090784,0.051627012715186216,0.02037478537990062,0.04007723859221318,-0.0207537221594942,0.01797231164933218,-0.00797287286345522,-0.0393585088388377,-0.0455593073125855,-3.0177096857120048e-05,0.052127068617139616,0.00430486492202888,0.004901844616895699,0.00903898845459806,-0.02474784597358716,-0.018309309578337755,0.01669711778430766,-0.04401376946092256,-0.03019335136777826,-0.0455593073125855,0.01886197768938138,-0.0455593073125855,-0.0455593073125855,0.029502723772171703,-0.026844789825222058,-0.0015679970755089403
SQ,Female,-0.11821086523852356,0.13334752758086008,0.20460312572375927,0.17243863971249035,0.10072995179032544,-0.09343482726357923,-0.138411069146491,0.21394377996053127,-0.19888840762062082,-0.41104560417727176,0.13135199409583523,0.03288909043029327,0.09094000345441347,-0.4271266009824865,-0.2910676711132451,-0.44413506161997907,-0.4035164926424651,-0.37681849239557297,-0.42939236024771477,-0.45265578143188645,-0.3762125469592007,-0.45265578143188645,-0.45265578143188645,-0.45265578143188645,-0.26545800870194636,-0.2938686962959651
SQ,Male,-0.048542721151512994,0.08699192158885338,0.07223785969274801,0.27497815277459614,0.11894433836774851,-0.11428576367798901,-0.17555053417649089,0.08312005387110337,-0.14840975218661126,-0.4314070903587483,0.08760669819980649,0.010707967655490258,0.08267201063624062,-0.47966271922544923,-0.39718085132992365,-0.4877309567658711,-0.4387503356136362,-0.3998964613354176,-0.4650078505575907,-0.4928946604274433,-0.41275454572244374,-0.4928946604274433,-0.4928946604274433,-0.4928946604274433,-0.31471176774685816,-0.3250934105607802
Str,Female,0.2412213121686746,-0.11197628615663827,-0.10184432337202472,0.32478128356624225,0.02113506393228124,0.07132067826404742,-0.09968945554505994,-0.08991791381657817,-0.07559489895654456,0.24235719364714564,0.16034786704535922,0.0920969968205239,0.03491337267786418,-0.14256684514858817,0.23565095822795185,-0.155101196386566,-0.05981468235470092,-0.13003614481550665,-0.1395981619897165,-0.1655872656115492,-0.03133425888343666,-0.1655872656115492,-0.1655872656115492,-0.1655872656115492,-0.06432167026726848,0.33670358999873157
Str,Male,0.25765148654296355,-0.10379079282651013,-0.09556480453247343,0.37967781168029824,0.0041298333862734,0.06529976180090609,-0.08825739974744959,-0.0884557048033596,-0.07027116066254084,0.24052931479545575,0.1388892110783372,0.07491324102636668,0.015651978265322452,-0.13484327282489392,0.22224150352447952,-0.14756343150838527,-0.05334044437928802,-0.10615109137159391,-0.13371250487152755,-0.1564468548198513,-0.0350721657346692,-0.1564468548198513,-0.1564468548198513,-0.1564468548198513,-0.057099471378603564,0.3326422165165854
TE,Male,0.41979735421457187,0.23201736406976964,-0.0008107135790477,0.9299083840526009,0.1115365353348348,0.06276829482590673,0.1032007176348146,0.0012521886541514,0.0046127780401755605,-0.0008107135790477,0.05767539352616062,0.024277828389294858,0.02217029629562048,0.04840482409764182,0.016300801715324963,0.00019120722677114005,0.03248044676479782,-0.0008107135790477,-0.0008107135790477,-0.0008107135790477,0.10560634161917579,-0.0008107135790477,-0.0008107135790477,-0.0008107135790477,-0.0008107135790477,0.16608511553341282
TH,Female,0.29560688504527344,-0.1107819213034941,-0.12054128846547314,0.3534586672614607,0.0382630017702936,0.09209162946332991,-0.10925563219530962,-0.09618213945469142,-0.08252385397773801,0.2876727582776663,0.1410427815367788,0.11651558191491591,0.04639994864306855,-0.15446491774928942,0.25953092663245536,-0.16328861991504356,-0.0787345782642923,-0.14032374153436722,-0.148013088047232,-0.1715541011072822,-0.03924596747423844,-0.1715541011072822,-0.1715541011072822,-0.1715541011072822,-0.06206746418417601,0.40735788572994186
TH,Male,0.3099814714421033,-0.1089042286947541,-0.1059150225947568,0.45035870579538606,0.00909973715390378,0.08669679424632326,-0.11376060416349865,-0.10214807341255275,-0.08817568775109064,0.32349677155877926,0.15204874935235438,0.08359565620151652,0.014450746720372198,-0.13638129169200378,0.23312028490778766,-0.15755414462362585,-0.07690182316489066,-0.14062468708821674,-0.15425184123532287,-0.1775080881200356,-0.06739924672623916,-0.1775080881200356,-0.1775080881200356,-0.1775080881200356,-0.06173445000157109,0.4387910301060788
UT,Female,0.017051256805088878,0.06914553738939042,0.0242536270990385,0.09441094170390843,0.0324557292761438,0.05124526191128762,0.03589584545056288,-0.02204836013175692,-0.033016123196158945,-0.015350015314658442,0.22847091709229236,0.22139394654749128,0.14621598177383416,-0.0172721384554974,0.11604641145424828,-0.03188379160001512,0.01038935557432984,-0.03758583241526448,-0.0051479809915091195,-0.0564972465700974,0.05525158995821796,-0.0564972465700974,-0.0564972465700974,-0.0564972465700974,-0.0285690650454077,0.01077100161685354
VF,Female,-0.11692759239037862,0.22794207658427518,0.2372731066060642,0.20035405336705586,0.09852040392771744,-0.09037413625807326,-0.16984926169494782,0.25680430644806956,-0.1225843270275326,-0.36142209176641277,0.16042916274486788,0.15116659390286089,0.13336341020085402,-0.34548072966139076,-0.26009062029737845,-0.3369873707898817,-0.29971482094696494,-0.29644487379041023,-0.34592866598813055,-0.3629348247852375,-0.2907733242812445,-0.3629348247852375,-0.3629348247852375,-0.3629348247852375,-0.22578981535732418,-0.2429398514692342
VF,Male,-0.046051361199807364,0.2449617250021605,0.07952588943426196,0.23362516081009937,0.058880912251961515,-0.014378083361143715,-0.06995468264616882,0.10806003574607181,0.09977940368425672,0.25883026904470424,0.23923518308470984,0.15274307036816498,0.17237977215036954,-0.18300175283988246,0.2104523906307172,-0.2473079701791087,-0.12560196657194853,-0.12741862053601344,-0.201867160103023,-0.2478304051640622,-0.13081265689082328,-0.2478304051640622,-0.2478304051640622,-0.2478304051640622,0.12071199128020087,0.07313936891943898
